,CD4.prot,CD8A.prot
810491,4971,55
736396,2856,72
358167,780,75
385063,30,28
71324,2977,24
626947,855,1259
229152,172,58
633930,2095,59
715706,4879,52
579585,2173,49
751730,1124,274
796310,2781,56
38108,2739,53
604415,2082,44
624339,252,18
849796,2971,74
40555,3046,136
647843,3370,150
787057,2938,222
308369,1853,38
577178,2411,62
327293,2601,47
820253,3289,38
148673,561,72
577550,21,44
579051,3123,37
662093,1063,106
267508,101,3696
101957,2990,152
593696,3771,61
214038,2640,52
534782,2863,92
737915,2684,23
747480,2695,330
124411,3108,60
251699,2638,116
292371,967,34
319212,2300,52
334097,3585,21
510797,2881,40
613853,4217,94
710256,2101,3
101866,488,85
647027,1894,58
123508,3499,45
842271,4385,46
760093,18,3693
288782,2446,24
271153,1473,65
204400,3365,261
481222,3567,45
22588,2944,84
404127,14,36
817946,2393,55
722502,1812,35
872587,3928,81
411180,2019,58
673334,2117,76
33168,444,32
313582,1733,24
407532,1941,97
782248,1100,60
677603,3337,90
132334,586,55
800721,2523,49
865064,2714,87
556299,2062,57
856862,193,257
138165,2037,39
524306,18,680
747837,2099,46
768240,1230,95
644022,1962,43
730408,1751,133
145867,22,1
600866,1639,57
54865,3545,68
226879,2892,33
426783,1224,17
216907,3520,59
177021,2891,44
449618,2692,50
799608,1289,182
24445,3505,53
305518,3207,59
807469,4726,62
488005,1634,103
868581,25,50
200638,4641,76
771924,3319,46
702792,4092,106
713856,1477,191
138925,28,43
220433,858,31
240625,20,83
268805,2360,80
506896,2122,71
878125,2182,74
209633,528,144
261397,925,39
701043,2960,24
184824,31,75
696909,937,41
752552,95,36
265708,1474,40
837004,2207,17
118363,1106,512
644943,2703,34
204326,3028,71
416955,2084,59
441032,1894,105
25924,4085,8
387750,33,65
763911,3901,42
188698,1188,144
368918,1173,37
454964,16,739
206210,17,49
524801,20,42
736476,3270,40
742701,3607,53
784055,27,2295
33907,3517,54
206953,4642,80
725370,196,81
235081,1202,27
756617,2556,38
840619,4654,36
606145,1109,62
727058,5017,72
464485,53,759
545981,1890,19
206612,3299,31
213516,2575,106
755556,3482,41
869765,4244,88
870194,1622,104
245915,4671,45
297950,3693,81
703036,1969,199
168612,1358,30
803968,2416,70
193326,2736,60
754853,1386,28
863222,2711,61
21896,3791,61
822657,2947,39
191443,3792,39
412429,1087,692
206690,325,10
689487,3181,183
668272,2180,44
811474,2775,81
605117,3193,31
760958,1249,50
115480,2807,35
193086,849,297
737067,3128,108
774993,1147,55
110724,2832,29
683481,1022,56
474042,999,756
592050,3,0
876472,4200,103
13747,2065,26
441478,715,30
570562,19,31
214282,2992,89
724260,1606,37
80804,12,99
263361,1993,41
86331,1162,46
379691,862,91
706269,3558,40
157271,2102,24
275642,36,139
297776,3277,69
595395,1281,73
374379,750,208
455820,2380,55
81130,2201,21
614618,3888,123
744444,1523,81
789112,148,22
827900,16,27
483576,2299,290
673697,109,369
721891,2516,78
758673,2943,46
822430,3364,60
741316,4068,133
161734,1417,51
875458,2899,40
153308,2094,47
763593,473,70
406374,1568,42
831950,1303,21
688562,1398,74
827275,12,1315
855059,2296,32
743786,3226,27
248968,346,65
454552,3064,36
599369,2172,41
405337,756,143
687679,1262,15
179116,2144,68
503436,75,89
560166,553,111
724020,4161,51
767663,3424,28
877326,2194,28
742136,16,2240
129977,1791,722
309783,597,144
829883,746,542
35341,457,1384
267193,3021,59
689664,1183,35
795826,22,3716
245835,2942,70
362125,2459,21
436067,32,80
485901,1168,273
690057,2858,28
747967,3131,69
794392,1312,173
236529,1730,72
482271,2341,98
703858,47,60
751400,1169,66
46299,2559,156
752383,2409,112
823903,1970,62
102175,2968,47
132643,3748,78
203178,1933,122
514772,13,918
387178,2703,33
495432,1538,121
702871,2338,82
763402,4299,41
829657,3965,123
559004,1658,58
697117,1957,160
768457,1930,102
757943,1945,37
233752,1066,177
683513,373,38
373743,1772,55
505238,16,1214
722912,1635,28
6936,380,59
604386,2353,79
499903,19,142
578161,485,140
671635,945,186
851826,2538,73
882279,1108,173
859243,1868,56
362963,18,407
311045,249,48
653952,1617,74
759008,3076,39
666826,2509,65
198787,1260,669
307510,1074,16
624795,731,59
844422,66,4264
83372,3137,125
741618,273,169
340746,4319,37
344656,1770,55
656220,1450,60
367814,2534,77
852517,2911,52
17614,2468,73
592307,2842,130
662736,3640,46
763859,23,58
46363,525,43
93600,2151,64
634847,26,176
262409,3411,51
356424,67,147
765262,4186,59
801238,1264,44
745066,3793,260
768031,3150,35
141668,891,118
710930,3128,98
298610,35,328
494696,20,1255
599585,12,91
862286,2453,43
459675,1391,147
232528,2297,83
105367,2235,40
777746,3652,68
512833,3812,129
139278,1655,165
88067,100,42
239533,1189,136
451823,2590,101
