Cell_Index,Cell_Type_Experimental
603771,T_CD4_memory
876214,T_CD4_memory
165919,T_gamma_delta
878195,T_CD4_memory
760215,T_CD4_memory
88674,T_CD4_memory
165515,T_CD8_memory
324824,T_CD4_memory
324430,T_CD4_memory
492267,T_CD4_memory
104586,B
75212,T_CD4_naive
324191,T_CD4_memory
570126,T_CD4_naive
709999,T_CD4_memory
690818,T_CD4_memory
585647,T_CD4_naive
855469,T_CD4_memory
71127,T_CD4_memory
659020,T_CD4_memory
258639,T_CD4_memory
568181,T_CD4_memory
45917,T_CD4_memory
251152,Natural_killer
61280,T_CD8_memory
468207,T_CD8_memory
227531,Natural_killer
243871,T_CD4_memory
247858,T_CD4_memory
224756,T_CD4_memory
431911,T_CD4_memory
496602,T_CD4_memory
839931,T_CD4_memory
774645,T_CD4_memory
64262,T_CD4_memory
191128,T_CD4_memory
267743,T_CD4_memory
784745,T_CD8_memory
397488,T_CD4_memory
648195,T_CD4_memory
235425,B
524549,T_CD4_memory
423563,T_CD4_memory
457268,Natural_killer
264328,T_CD4_memory
342387,T_CD4_memory
658277,T_CD4_memory
833819,T_CD4_memory
839636,T_CD4_memory
1354,T_CD4_memory
448794,T_CD4_memory
528525,T_CD4_memory
650009,T_CD4_naive
69660,T_CD8_memory
317227,T_gamma_delta
56022,T_CD4_memory
213322,T_CD4_naive
726927,T_CD4_memory
399947,T_CD8_memory
577531,T_CD4_memory
595299,T_CD4_memory
525146,T_CD4_memory
117679,T_CD8_memory
270433,T_CD4_memory
331788,T_CD4_memory
632592,T_CD4_memory
190563,T_CD4_memory
272120,T_CD4_memory
73549,T_CD4_memory
818821,T_CD4_naive
261925,T_CD4_memory
780820,T_CD4_memory
173117,T_gamma_delta
25238,T_CD4_memory
482495,T_CD4_memory
93458,T_CD8_memory
570469,T_CD4_memory
201521,T_CD4_memory
750756,T_CD8_memory
444865,B
865413,T_CD4_memory
529237,T_CD4_memory
102397,B
95450,T_CD8_memory
365352,T_CD4_memory
427912,T_CD4_memory
38511,T_CD4_memory
429564,T_CD4_naive
617799,T_CD4_naive
233462,T_CD4_memory
325884,T_CD4_memory
536091,T_CD4_naive
821614,B
97811,T_CD4_memory
104610,T_CD4_naive
583305,T_CD4_memory
733967,T_CD4_memory
517937,T_CD4_memory
708057,T_CD4_memory
661721,T_gamma_delta
803858,T_CD4_memory
640407,T_CD4_memory
129890,Natural_killer
466904,T_CD4_memory
440053,T_CD4_memory
273249,T_CD4_memory
303626,T_CD4_memory
591075,T_CD4_memory
132425,T_CD4_memory
386288,T_CD4_memory
364061,T_CD4_memory
14605,T_CD4_memory
151422,B
651097,T_gamma_delta
590770,T_CD4_memory
466585,T_CD4_naive
753657,Natural_killer
535170,T_CD4_memory
73961,T_CD4_memory
626097,T_CD4_memory
743913,T_CD4_memory
40848,T_CD4_naive
28352,T_CD4_memory
