,CD4.prot,CD8A.prot
303626,1.113781,0.12820959
591075,1.2102256,0.09253842
132425,1.2054125,0.09379531
386288,1.0846009,0.13997793
364061,1.2209061,0.0886015
14605,1.0879674,0.13877526
151422,0.47163522,0.56591266
651097,0.38978335,0.66766447
590770,0.91880006,0.22171319
466585,0.90258825,0.23163652
753657,0.9655466,0.1971229
535170,0.9745054,0.18687059
73961,0.8554258,0.25984263
626097,1.0863948,0.13930893
743913,1.1891159,0.100373216
40848,1.1852399,0.10198087
28352,0.63974303,0.41504222
624932,1.216279,0.09114542
228343,0.97363675,0.19035682
712078,1.061066,0.1505388
805229,1.1843232,0.10246245
1168,1.181294,0.10270302
382219,1.1799848,0.103489324
235654,1.2847697,0.069500625
715416,1.0062257,0.1724762
191573,0.42077166,0.6320158
773467,0.9131919,0.22515616
692627,0.9030967,0.23186412
377894,1.1990492,0.09696193
652023,1.17324,0.10092391
169691,1.0710254,0.14625251
190241,1.1422013,0.11680864
30136,0.9941894,0.18246078
542746,0.99707454,0.17958583
3153,0.40650222,0.6465466
43456,1.0502338,0.15429544
151191,1.065135,0.14826469
421062,1.1903439,0.09862475
433203,1.2484714,0.08127203
448072,1.1772516,0.10393476
750433,1.1060951,0.12932406
785807,1.2419095,0.08337406
280416,0.05411236,1.3528839
543115,1.0507476,0.15486741
40513,1.1816776,0.10228928
205200,0.84957486,0.26426017
342483,1.1132073,0.12767473
113429,1.1769401,0.10377093
550410,1.0762435,0.1429256
367158,1.2528555,0.080418296
21643,0.69792265,0.37288696
59466,1.0600998,0.15070762
308054,1.2459102,0.08077283
576739,1.1989158,0.096034035
297576,1.1248318,0.12422264
103553,0.9846862,0.18468982
672308,1.1795834,0.10339759
102334,1.1301385,0.12199728
62117,1.1705041,0.10544118
62652,1.1126436,0.12882966
647368,1.1843612,0.100589976
847287,1.1826618,0.100940675
701958,0.086449906,1.2316028
130729,1.1772301,0.10415745
868037,1.1766492,0.10473065
41052,1.1810255,0.099141166
134070,0.97904885,0.18953298
618666,1.2368474,0.0845627
321663,0.71356714,0.36000928
